name,description,cost,price,stock,minStock,categoryId,barcode
Tornillo hexagonal 6x20mm,Tornillo de acero hexagonal 6x20mm,0.50,1.20,500,50,Ferretería,
Destornillador Phillips #2,Destornillador con punta Phillips número 2,8.50,15.90,25,5,Herramientas,
Martillo carpintero 16oz,Martillo de carpintero cabeza 16 onzas,12.00,22.50,15,3,Herramientas,
Pintura blanca vinílica 1L,Pintura vinílica color blanco 1 litro,18.50,28.90,30,5,Pintura,
Cemento Portland 50kg,Cemento Portland tipo I 50 kilogramos,8.90,12.50,100,10,Construcción,
Brocas para concreto set 5pz,Set de 5 brocas para perforar concreto,22.00,39.90,18,3,Herramientas,
Tubo PVC 4 pulgadas x 6m,Tubo PVC sanitario 4 pulgadas por 6 metros,45.00,68.50,20,3,Plomería,
Cable eléctrico 12 AWG x 100m,Cable eléctrico calibre 12 AWG rollo 100 metros,89.00,125.00,12,2,Electricidad,
Interruptor sencillo blanco,Interruptor sencillo color blanco 15 amperios,3.50,6.80,80,10,Electricidad,
Pegamento epóxico 50ml,Pegamento epóxico bicomponente 50 mililitros,12.50,19.90,40,5,Adhesivos,
Lija agua #220 pliego,Lija para agua grano 220 por pliego,2.80,4.50,200,20,Herramientas,
Candado seguridad 50mm,Candado de seguridad laminado 50 milimetros,25.00,38.90,30,5,Seguridad,
Bisagra puerta 3x3 pulgadas,Bisagra para puerta de 3x3 pulgadas,8.90,14.50,45,8,Herrajes,
Manija cromada para puerta,Manija cromada para puerta interior,35.00,52.90,25,3,Herrajes,
Válvula de bola 1/2 pulgada,Válvula de bola de bronce 1/2 pulgada,18.50,28.90,35,5,Plomería,
Foco LED 9W luz cálida,Foco LED 9 watts luz cálida E27,8.50,15.50,60,10,Iluminación,
Extensión eléctrica 5m,Extensión eléctrica polarizada 5 metros,28.00,42.90,20,3,Electricidad,
Guantes trabajo carnaza,Guantes de trabajo de carnaza reforzados,12.00,18.90,50,8,Seguridad,
Mascarilla N95 paquete 10,Mascarillas N95 certificadas paquete 10 piezas,45.00,65.00,40,5,Seguridad,
Metro medición 5m,Metro de medición retráctil 5 metros,18.50,28.90,35,5,Herramientas,
